"Route 240 Inbound Weekday S Route 240 Weekday Service Inbound 2011-09-06 to 2012-09-05-1 05:42","0","Nob Hill Apartments","Brighton Towers","http://maps.google.com/maps?f=d&source=s_d&saddr=43.000214,-76.128175&daddr=43.004545,-76.130792"
"Route 240 Inbound Weekday S Route 240 Weekday Service Inbound 2011-09-06 to 2012-09-05-1 05:42","1","Brighton Towers","Thurber & Alden","http://maps.google.com/maps?f=d&source=s_d&saddr=43.004545,-76.130792&daddr=43.018619,-76.132921"
"Route 240 Inbound Weekday S Route 240 Weekday Service Inbound 2011-09-06 to 2012-09-05-1 05:42","2","Thurber & Alden","Bird Library University Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.018619,-76.132921&daddr=43.039379,-76.132594"
"Route 240 Inbound Weekday S Route 240 Weekday Service Inbound 2011-09-06 to 2012-09-05-1 05:42","3","Bird Library University Place","Upstate University Hosp. Stop is on Harrison St.","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039379,-76.132594&daddr=43.044303,-76.140502"
"Route 240 Inbound Weekday S Route 240 Weekday Service Inbound 2011-09-06 to 2012-09-05-1 05:42","4","Upstate University Hosp. Stop is on Harrison St.","Civic Center State & Madison Sts","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044303,-76.140502&daddr=43.045482,-76.147504"
"Route 240 Inbound Weekday S Route 240 Weekday Service Inbound 2011-09-06 to 2012-09-05-1 05:42","5","Civic Center State & Madison Sts","DOWNTOWN Fayette & Salina Sts","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045482,-76.147504&daddr=43.048682,-76.152233"
"Route 240 Inbound Weekday S Route 240 Weekday Service Inbound 2011-09-06 to 2012-09-05-2 06:13","0","Iroquois Nursing Home","Nob Hill Apartments","http://maps.google.com/maps?f=d&source=s_d&saddr=42.995521,-76.120107&daddr=43.000214,-76.128175"
"Route 240 Inbound Weekday S Route 240 Weekday Service Inbound 2011-09-06 to 2012-09-05-2 06:13","1","Nob Hill Apartments","Brighton Towers","http://maps.google.com/maps?f=d&source=s_d&saddr=43.000214,-76.128175&daddr=43.004545,-76.130792"
"Route 240 Inbound Weekday S Route 240 Weekday Service Inbound 2011-09-06 to 2012-09-05-2 06:13","2","Brighton Towers","Thurber & Alden","http://maps.google.com/maps?f=d&source=s_d&saddr=43.004545,-76.130792&daddr=43.018619,-76.132921"
"Route 240 Inbound Weekday S Route 240 Weekday Service Inbound 2011-09-06 to 2012-09-05-2 06:13","3","Thurber & Alden","Bird Library University Place","http://maps.google.com/maps?f=d&source=s_d&saddr=43.018619,-76.132921&daddr=43.039379,-76.132594"
"Route 240 Inbound Weekday S Route 240 Weekday Service Inbound 2011-09-06 to 2012-09-05-2 06:13","4","Bird Library University Place","Upstate University Hosp. Stop is on Harrison St.","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039379,-76.132594&daddr=43.044303,-76.140502"
"Route 240 Inbound Weekday S Route 240 Weekday Service Inbound 2011-09-06 to 2012-09-05-2 06:13","5","Upstate University Hosp. Stop is on Harrison St.","Civic Center State & Madison Sts","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044303,-76.140502&daddr=43.045482,-76.147504"
"Route 240 Inbound Weekday S Route 240 Weekday Service Inbound 2011-09-06 to 2012-09-05-2 06:13","6","Civic Center State & Madison Sts","DOWNTOWN Fayette & Salina Sts","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045482,-76.147504&daddr=43.048682,-76.152233"
